experiment,si_sdr_overall,sdr_overall,sar_overall,isr_overall,best_epoch,best_val_loss,params
baseline,-2.6901915726065635,-4.6574586820035435,-2.1130714895882408,0.6669627159809357,82,0.7715656876564025,24300721.0
dsc24,-14.056734852865338,-6.237698548279415,-9.618020698704848,-1.1507572615794504,92,1.7683491706848145,11791561.0
dsc40,-8.376041234657169,-6.939373760577127,-7.018168416586707,-1.7315337375557867,92,1.8295746088027953,19234041.0
dsc10,-11.70916789567098,-7.217394473874552,-7.372495114683755,-4.6667413754879625,92,1.6403515309095382,19088571.0
dsc48,-13.199291687458754,-7.863134729302852,-9.16036990977037,-4.771818680906798,92,1.8565960466861724,22955281.0
dsc20,-14.706273050904274,-8.120852135632779,-10.600238646452349,-4.258353451882336,92,1.7754126250743867,13876421.0
dsc5,-16.35154359869659,-8.489876167812099,-10.07427772921906,-0.8951343375817606,93,1.726135003566742,21694646.0
