experiment,seed,epoch,train_loss,train_si_sdr,val_loss,val_si_sdr,lr
baseline,42,1,12.423434665468005,-13.52242005136278,9.431352519989014,-10.275275707244873,0.0009997535269026829
baseline,42,2,10.305107633272806,-11.692011597421434,8.835506534576416,-10.65813331604004,0.0009990143508499217
baseline,42,3,9.634390830993652,-11.171961275736491,6.43382716178894,-6.945574569702148,0.0009977832013192385
baseline,42,4,9.931104220284356,-11.018035252888998,6.677882099151612,-7.579387474060058,0.0009960612933065818
baseline,42,5,9.004284238815307,-10.396552462048001,5.066937446594238,-5.821344661712646,0.0009938503261272714
baseline,42,6,10.197551192177666,-11.115847611427307,6.559029078483581,-6.986981689929962,0.00099115248173898
baseline,42,7,10.563122798336877,-11.833469994862874,6.74636058807373,-7.439642906188965,0.0009879704225884043
baseline,42,8,12.136402216222551,-13.645185250706144,8.747445106506348,-9.296889972686767,0.0009843072889837512
baseline,42,9,10.385514899094899,-11.736565026972029,4.7363074779510494,-5.029279327392578,0.000980166695995633
baseline,42,10,9.023103912671408,-10.11382903125551,7.554275941848755,-8.668423557281494,0.0009755527298894294
baseline,42,11,8.999931270546384,-10.170163575808207,8.510380029678345,-9.22201647758484,0.0009704699440926358
baseline,42,12,7.932218944364124,-9.21359301076995,10.904751515388488,-11.633278942108154,0.0009649233547011817
baseline,42,13,8.216091357999378,-9.313119000196457,2.6169252514839174,-3.085990822315216,0.0009589184355291487
baseline,42,14,10.130208691292339,-11.520493300755819,4.813398170471191,-5.796818590164184,0.000952461112706777
baseline,42,15,8.536633047130373,-10.021152643362681,7.082934117317199,-7.7815236210823056,0.00094555775883209
baseline,42,16,9.640324302514394,-11.22409623099698,12.53657341003418,-13.651093196868896,0.0009382151866819101
baseline,42,17,6.131351806057824,-7.236687895986769,4.208986973762512,-5.169300556182861,0.0009304406424884702
baseline,42,18,7.656083138783773,-9.330977119339837,8.062107312679291,-8.736053216457368,0.000922241798788257
baseline,42,19,7.993366599745221,-9.13886481920878,3.2809141874313354,-4.418164229393005,0.0009136267468501441
baseline,42,20,6.717093098825878,-8.173952795730697,8.84762020111084,-9.829365253448486,0.0009046039886902867
baseline,42,21,6.614770568741692,-8.03591604895062,7.175082015991211,-7.946805381774903,0.0008951824286816577
baseline,42,22,8.137002676063114,-9.453088512685564,12.377875459194183,-13.083464670181275,0.0008853713647665071
baseline,42,23,9.274950966238976,-10.943826126390034,4.2989284753799435,-5.1809446811676025,0.0008751804792804149
baseline,42,24,8.983303829365306,-10.380068898200989,1.8278926372528077,-2.8720813035964965,0.0008646198293969954
baseline,42,25,7.345258233944575,-9.1964373032252,7.519748961925506,-9.107933807373048,0.0008536998372026807
baseline,42,26,9.111941270695793,-10.98312652276622,6.115148878097534,-7.54428117275238,0.0008424312794113804
baseline,42,27,9.29794776307212,-11.310581125153435,4.274270534515381,-5.597406482696533,0.0008308252767291644
baseline,42,28,10.083196253909005,-12.013145966000026,2.7745999336242675,-3.05368115901947,0.0008188932828794708
baseline,42,29,5.844590814908345,-7.3915697720315725,4.9537330865859985,-6.194620275497437,0.0008066470732996621
baseline,42,30,7.323608492149247,-8.819339334964752,1.1468376755714416,-2.088046932220459,0.0007940987335200907
baseline,42,31,8.619870401422183,-10.550529804494646,4.861197239160537,-6.396351671218872,0.0007812606472371396
baseline,42,32,9.052927488750882,-10.732187315821648,4.777331924438476,-6.9263578176498415,0.0007681454840920091
baseline,42,33,8.353871666722828,-10.451761032475366,5.569672369956971,-7.470789217948914,0.0007547661871673109
baseline,42,34,10.28428969250785,-12.57213810549842,6.387910270690918,-7.101801037788391,0.0007411359602138072
baseline,42,35,7.00488647222519,-8.54830354584588,5.606939768791198,-8.031108736991882,0.000727268254619904
baseline,42,36,6.766134768062168,-8.646710294485093,5.92023868560791,-7.666368174552917,0.0007131767561367542
baseline,42,37,8.20800717605485,-10.191878319448895,1.9790114521980287,-3.820991325378418,0.0006988753713720732
baseline,42,38,6.921362482508024,-8.870477944612503,2.0065559327602385,-3.332984781265259,0.000684378214065997
baseline,42,39,8.943357163005405,-10.706763377454546,2.42227383852005,-3.9355318546295166,0.0006696995911625234
baseline,42,40,8.009783079889086,-9.90898390379217,9.698825073242187,-11.572353029251099,0.0006548539886902865
baseline,42,41,7.022406386004554,-9.336023953225878,6.910763168334961,-9.847063732147216,0.0006398560574665953
baseline,42,42,5.839934631850984,-7.775473490026262,2.073533409833908,-2.9758084297180174,0.0006247205986388451
baseline,42,43,5.55358218451341,-7.626258837514453,6.659508717060089,-8.34494104385376,0.0006094625490775733
baseline,42,44,6.590257631407844,-8.862088174952401,9.70259623527527,-12.321938037872314,0.0005940969666355698
baseline,42,45,7.651815896895196,-9.680940735008981,6.449634921550751,-8.632054209709167,0.0005786390152875956
baseline,42,46,6.797548230820232,-9.15808749033345,4.60114996433258,-6.480151081085205,0.0005631039501653703
baseline,42,47,8.280815574857924,-10.408131975597806,0.9130434036254883,-2.586919403076172,0.0005475071025025981
baseline,42,48,8.311397677659988,-11.108488657739427,6.291278690099716,-9.007981491088866,0.0005318638645048923
baseline,42,49,7.016264704200957,-9.571810330284967,7.071686744689941,-9.251920175552367,0.0005161896741595253
baseline,42,50,7.422780199183358,-9.925437433189815,4.512301969528198,-6.3434654712677006,0.0005005000000000002
baseline,42,51,8.531639663378398,-11.194215992424223,4.786742162704468,-6.489784288406372,0.0004848103258404751
baseline,42,52,7.667067755262057,-10.248535158899095,3.385694169998169,-6.152223396301269,0.0004691361354951082
baseline,42,53,6.019508818123076,-8.246518199973636,1.9778326034545899,-3.9874242544174194,0.00045349289749740224
baseline,42,54,8.562307693560918,-11.57224996553527,4.497838354110717,-7.180537462234497,0.0004378960498346302
baseline,42,55,5.59064267343945,-7.724613663554192,3.6051674008369448,-5.577199459075928,0.0004223609847124048
baseline,42,56,6.768240173657735,-9.166656393475003,4.751738131046295,-6.977756929397583,0.0004069030333644307
baseline,42,57,6.781503423055013,-9.230191230773926,7.4501831293106076,-9.65149029493332,0.0003915374509224273
baseline,42,58,5.725663782490624,-8.305628033479055,2.074892270565033,-4.2669731140136715,0.0003762794013611551
baseline,42,59,7.812760303086705,-10.593917821513282,8.060893368721008,-9.916078424453735,0.00036114394253340513
baseline,42,60,7.764985289838579,-10.19911422332128,6.6361573219299315,-8.89712471961975,0.000346146011309714
baseline,42,61,7.896006312304073,-10.516268650690714,4.994368147850037,-7.139565491676331,0.00033130040883747703
baseline,42,62,5.113006617625555,-7.353853427039253,7.74582986831665,-10.596744155883789,0.0003166217859340036
baseline,42,63,4.995475914080938,-7.462287245194117,6.131850099563598,-8.255997776985168,0.0003021246286279271
