experiment,seed,checkpoint,track,source,si_sdr,sdr,sir,sar,isr,params,inference_time_ms
dsc20,42,checkpoints/dsc20/best.pt,AM Contra - Heart Peripheral,vocals,-24.06824493408203,-8.443697427324157,nan,-20.340980547648535,-1.5819768922473336,13876421,25856.320610037073
dsc20,42,checkpoints/dsc20/best.pt,AM Contra - Heart Peripheral,drums,-12.190971374511719,-9.212018110694498,nan,-8.890101590169222,-4.699480441870028,13876421,25856.320610037073
dsc20,42,checkpoints/dsc20/best.pt,AM Contra - Heart Peripheral,bass,-9.04828929901123,-14.434665538251561,nan,-10.820670573149382,-7.781090545802261,13876421,25856.320610037073
dsc20,42,checkpoints/dsc20/best.pt,AM Contra - Heart Peripheral,other,-16.981279373168945,-0.9472082918546966,nan,-12.381436949451897,-0.4303821656799257,13876421,25856.320610037073
dsc20,42,checkpoints/dsc20/best.pt,Al James - Schoolboy Facination,vocals,-20.315359115600586,-4.623783239051505,nan,-14.012229723496826,-1.174842751794357,13876421,24316.920245008077
dsc20,42,checkpoints/dsc20/best.pt,Al James - Schoolboy Facination,drums,-13.059991836547852,-15.322288749890102,nan,-12.22457292053921,-6.877279080583145,13876421,24316.920245008077
dsc20,42,checkpoints/dsc20/best.pt,Al James - Schoolboy Facination,bass,-8.473832130432129,-7.762392216649339,nan,-3.4096087066644882,-6.78963849442612,13876421,24316.920245008077
dsc20,42,checkpoints/dsc20/best.pt,Al James - Schoolboy Facination,other,-9.27303409576416,-1.776597154550591,nan,-7.237087666715998,-1.3024403253686532,13876421,24316.920245008077
dsc20,42,checkpoints/dsc20/best.pt,Angels In Amplifiers - I'm Alright,vocals,-21.07782554626465,-6.072363451951053,nan,-17.347807729364725,-1.4579739182887066,13876421,21860.633389034774
dsc20,42,checkpoints/dsc20/best.pt,Angels In Amplifiers - I'm Alright,drums,-17.769798278808594,-14.448764913106682,nan,-14.01501261343624,-5.45023718024626,13876421,21860.633389034774
dsc20,42,checkpoints/dsc20/best.pt,Angels In Amplifiers - I'm Alright,bass,-12.057881355285645,-10.695321345216488,nan,-4.30086248526626,-8.438669851714085,13876421,21860.633389034774
dsc20,42,checkpoints/dsc20/best.pt,Angels In Amplifiers - I'm Alright,other,-4.60979700088501,-1.4496576264981713,nan,-4.248847556936107,-1.213624326214985,13876421,21860.633389034774
dsc20,42,checkpoints/dsc20/best.pt,Arise - Run Run Run,vocals,-18.11087417602539,-11.302390765980373,nan,-15.507344677773961,-4.008677511775803,13876421,26644.40431300318
dsc20,42,checkpoints/dsc20/best.pt,Arise - Run Run Run,drums,-18.111221313476562,-12.644346977400765,nan,-14.56449328246779,-3.963012832105936,13876421,26644.40431300318
dsc20,42,checkpoints/dsc20/best.pt,Arise - Run Run Run,bass,-8.69965648651123,-8.14001605144423,nan,-0.03975561616261719,-24.72664323287054,13876421,26644.40431300318
dsc20,42,checkpoints/dsc20/best.pt,Arise - Run Run Run,other,-10.933849334716797,-0.39415798323419826,nan,-4.736303013441422,-0.314306017099226,13876421,26644.40431300318
dsc20,42,checkpoints/dsc20/best.pt,BKS - Bulldozer,vocals,-28.23238182067871,-10.777768944043018,nan,-15.69234226830192,-3.5537886009231654,13876421,40971.88157902565
dsc20,42,checkpoints/dsc20/best.pt,BKS - Bulldozer,drums,-15.01209831237793,-9.367586418237867,nan,-11.584742472697748,-3.5357538104730035,13876421,40971.88157902565
dsc20,42,checkpoints/dsc20/best.pt,BKS - Bulldozer,bass,-16.535303115844727,-11.54371912976503,nan,-2.1185949657395025,-14.465813960818972,13876421,40971.88157902565
dsc20,42,checkpoints/dsc20/best.pt,BKS - Bulldozer,other,0.021580234169960022,-1.513545586415061,nan,-3.086508056618027,-1.3284461819105153,13876421,40971.88157902565
dsc20,42,checkpoints/dsc20/best.pt,BKS - Too Much,vocals,-22.465517044067383,-7.9473378537240515,nan,-17.314494765821895,-1.7275392824527187,13876421,26717.945607029833
dsc20,42,checkpoints/dsc20/best.pt,BKS - Too Much,drums,-11.208818435668945,-10.970494948646072,nan,-9.587017742284868,-5.7406178012213065,13876421,26717.945607029833
dsc20,42,checkpoints/dsc20/best.pt,BKS - Too Much,bass,-8.519343376159668,-6.640169834925423,nan,-0.06992566427642037,-19.507759891880475,13876421,26717.945607029833
dsc20,42,checkpoints/dsc20/best.pt,BKS - Too Much,other,-7.613460540771484,-1.7155472313561346,nan,-7.1087156715298345,-1.2316074150515801,13876421,26717.945607029833
dsc20,42,checkpoints/dsc20/best.pt,Ben Carrigan - We'll Talk About It All Tonight,vocals,-20.155744552612305,-8.281621624772042,nan,-15.055151485558241,-2.2068624283527067,13876421,31042.600425949786
dsc20,42,checkpoints/dsc20/best.pt,Ben Carrigan - We'll Talk About It All Tonight,drums,-11.881250381469727,-10.294534366942,nan,-10.293616885148095,-5.038096412625972,13876421,31042.600425949786
dsc20,42,checkpoints/dsc20/best.pt,Ben Carrigan - We'll Talk About It All Tonight,bass,-9.271109580993652,-9.394848293572126,nan,-8.480067186435976,-5.229691530915263,13876421,31042.600425949786
dsc20,42,checkpoints/dsc20/best.pt,Ben Carrigan - We'll Talk About It All Tonight,other,-4.5630950927734375,-1.31801970185932,nan,-2.404836182249238,-1.1302242430140765,13876421,31042.600425949786
dsc20,42,checkpoints/dsc20/best.pt,Bobby Nobody - Stitch Up,vocals,-24.064064025878906,-8.236081804837578,nan,-18.634797824977237,-1.6093892518628097,13876421,26779.79130897438
dsc20,42,checkpoints/dsc20/best.pt,Bobby Nobody - Stitch Up,drums,-12.070335388183594,-13.522731687152504,nan,-10.650758411027043,-6.865528739805436,13876421,26779.79130897438
dsc20,42,checkpoints/dsc20/best.pt,Bobby Nobody - Stitch Up,bass,-11.923295021057129,-5.755864781986835,nan,-10.69029358158044,-2.5741582666412692,13876421,26779.79130897438
dsc20,42,checkpoints/dsc20/best.pt,Bobby Nobody - Stitch Up,other,-6.512818813323975,-1.0619507386996492,nan,-4.313324125066126,-0.8926162189510406,13876421,26779.79130897438
dsc20,42,checkpoints/dsc20/best.pt,Buitraker - Revo X,vocals,-27.136001586914062,-10.697915903504567,nan,-20.087911012561243,-1.7557014262142001,13876421,33637.04185100505
