experiment,seed,epoch,train_loss,train_si_sdr,val_loss,val_si_sdr,lr
dsc40,42,1,12.960594124264187,-18.497211975521513,9.239424324035644,-14.07039966583252,0.0009997535269026829
dsc40,42,2,11.291973336537678,-16.971681065029568,9.439534282684326,-16.640235328674315,0.0009990143508499217
dsc40,42,3,11.023618035846287,-17.654080825381808,8.678769588470459,-13.938165092468262,0.0009977832013192385
dsc40,42,4,11.457382706801097,-17.769152312808565,7.368748569488526,-10.940534210205078,0.0009960612933065818
dsc40,42,5,10.059657775031196,-14.777334679497613,6.677842426300049,-12.744579315185547,0.0009938503261272714
dsc40,42,6,10.895545706484054,-16.4168629222446,7.397869014739991,-10.737441349029542,0.00099115248173898
dsc40,42,7,11.800123916731941,-17.752700275844997,7.273919486999512,-14.99714183807373,0.0009879704225884043
dsc40,42,8,14.057314822408888,-20.4354782210456,9.913098621368409,-19.498579025268555,0.0009843072889837512
dsc40,42,9,10.983369713359409,-16.859490850236682,3.8248418807983398,-10.948089408874512,0.000980166695995633
dsc40,42,10,10.248127653863694,-16.00394367641873,13.261559772491456,-19.186373138427733,0.0009755527298894294
dsc40,42,11,10.470388068093193,-15.947710641225179,9.09494161605835,-17.345258140563963,0.0009704699440926358
dsc40,42,12,8.69516695605384,-16.167673524220785,10.728214275836944,-15.839959526062012,0.0009649233547011817
dsc40,42,13,8.299866667058733,-14.318360710144043,2.970594894886017,-13.115915489196777,0.0009589184355291487
dsc40,42,14,9.94626458949513,-16.710578939649793,7.009924471378326,-17.375765800476074,0.000952461112706777
dsc40,42,15,9.442145680718951,-15.734406248728435,7.5589921236038204,-13.409623146057129,0.00094555775883209
dsc40,42,16,10.135318097803328,-17.899215592278374,12.084045124053954,-20.10062141418457,0.0009382151866819101
dsc40,42,17,7.28490258720186,-14.559974204169379,4.597643637657166,-12.026294708251953,0.0009304406424884702
dsc40,42,18,9.184875823391808,-16.221870962778727,7.988287091255188,-15.841321849822998,0.000922241798788257
dsc40,42,19,9.22318528758155,-16.731230714586047,3.6162182092666626,-11.936706924438477,0.0009136267468501441
dsc40,42,20,7.589738754431407,-14.74366537729899,9.07763068675995,-16.290634536743163,0.0009046039886902867
dsc40,42,21,7.983092040982512,-16.135929679870607,7.234432315826416,-16.08758659362793,0.0008951824286816577
dsc40,42,22,9.229629821247524,-17.13730509016249,7.97775239944458,-16.05891971588135,0.0008853713647665071
dsc40,42,23,9.734707909160191,-17.441049363878037,4.715605092048645,-10.26361665725708,0.0008751804792804149
dsc40,42,24,9.589350004328622,-18.076713254716662,2.9711663246154787,-15.384695625305175,0.0008646198293969954
dsc40,42,25,8.13592324786716,-15.18900719748603,7.46841287612915,-16.926372146606447,0.0008536998372026807
dsc40,42,26,10.072412634558148,-18.77268650266859,6.277623224258423,-13.612777137756348,0.0008424312794113804
dsc40,42,27,10.910732895798153,-19.440335856543648,5.4318420648574826,-12.638222312927246,0.0008308252767291644
dsc40,42,28,10.001737988657421,-18.13723299238417,5.492906951904297,-16.290566825866698,0.0008188932828794708
dsc40,42,29,7.332465291023254,-14.625403711530897,6.321207809448242,-12.963539981842041,0.0008066470732996621
dsc40,42,30,7.704241157240338,-14.902932824028863,3.8687389612197878,-10.228605937957763,0.0007940987335200907
dsc40,42,31,9.475429774655236,-17.04123895433214,5.596968674659729,-14.615929985046387,0.0007812606472371396
dsc40,42,32,9.283283150858349,-17.28457745446099,5.165943813323975,-13.072937393188477,0.0007681454840920091
dsc40,42,33,8.938290931781133,-17.299920569525824,7.386770647764206,-18.397720527648925,0.0007547661871673109
dsc40,42,34,10.46936023235321,-19.556342368655734,5.763755965232849,-13.006491470336915,0.0007411359602138072
dsc40,42,35,7.6371973127126696,-15.346383868323432,7.210267734527588,-16.488088607788086,0.000727268254619904
dsc40,42,36,8.140761388672722,-16.338798173268636,5.767112421989441,-15.000905418395996,0.0007131767561367542
dsc40,42,37,8.417680051591661,-16.047766102684868,3.257524013519287,-12.911638259887695,0.0006988753713720732
dsc40,42,38,7.873531534936693,-15.37575560675727,3.122535890340805,-9.762174224853515,0.000684378214065997
dsc40,42,39,9.279739537503984,-17.759406354692246,3.2663875102996824,-12.740408325195313,0.0006696995911625234
